count,hate_speech_count,offensive_language_count,neither_count,class,tweet
3,0,0,3,2,RT @USER: Rumours that the boys will be touring around the world for OTRA Tour and it will end in the [LOCATION]/[LOCATION] as a welcome ho&8230;
3,0,3,0,1,"""Takin it straight to dirt, why finger the pussy when I know I can put my dick in it?"" @USER"
3,0,3,0,1,@USER @USER @USER ; My ass just won't be on that hoe!
3,0,3,0,1,RT @USER: I'm just looking for a bitch that can hold me down
3,2,1,0,0,@USER only faggots drive stick
3,0,3,0,1,RT @USER: The face you make when you see a hoe trying to preach on twitter URL
3,0,1,2,2,"RT @USER: ""You men are trash if your homeboy is cheating and you dont tell his wife/girl and break up their family."" LOLNO"
3,0,3,0,1,@USER Go get that sum bitch
3,0,0,3,2,@USER That's where I saw the leprechaun. He told me to burn things.
3,0,3,0,1,@USER @USER @USER yep. [LOCATION] is redneck heaven.
3,0,3,0,1,I be damn if i go ova dea n get my ass blown&128163; up i kno wat it look like bitch i play &128299;Call Of Duty frequently
3,0,3,0,1,RT @USER: Karma is a bitch just make sure that bitch is beautiful.
3,0,3,0,1,"&8220;@USER: Your relationship ended, not your life. stop being a whiny bitch&8221;"
3,0,3,0,1,If you jump someone you're a bitch regardless the situation
3,0,3,0,1,Now da Heat fans bacc y'all niccas kill me ain't tweeted shit all damn game
3,0,0,3,2,@USER Certainlt not the paddies
3,0,3,0,1,"Im trying to take the word ""bitch"" outta my vocabulary , hardest shit ever"
6,0,6,0,1,416 we know ya bitch @[LOCATION]ER
3,0,3,0,1,RT @USER: You can't find what you lookin for cuz you too busy likin 2 or 3 bitches at a time and all the same.
3,1,2,0,1,Jus tired to tell a nicca Young Thug was gah yesterday nicca ain't believe me &128530;
3,0,0,3,2,Shy girls &gt;&gt;
3,0,0,3,2,I rather watch the oak cliff redskins and oak cliff comets play hell
4,0,1,3,2,RT @USER: Which World Cup Teams Are Jihadis Rooting For? URL @USER @USER URL
3,0,3,0,1,Catch me fuckin off tonight @USER.. NoLineNoWait in that bitch as well.. MeetMeThere URL
7,0,7,0,1,When I was in HS we had a dance team and then we had the steppers them hoes was ghetto as shit but they kept the pep rally hyped
3,0,3,0,1,@USER @USER y'all's are all little punk ass bitches doe
3,2,1,0,0,@USER ur a fag
3,0,0,3,2,"@USER good job tonight! You need to eat some crackers so,you'll stop throwing up !"
3,0,1,2,2,@USER @USER Yankee? &128530;
3,0,3,0,1,"RT @USER: Roses are red, [PERSON][PERSON] is green. Trick or treat bitches, Happy Halloween. Merica."
3,0,3,0,1,It's my mans @USER birthday!! All the big booty bitches show him some love &128514;&8230; URL
3,0,3,0,1,RT @USER: If a bitch tries to get crazy tomorrow URL
3,1,2,0,1,you niggers cheat on ya gf's? smh..
3,0,3,0,1,@USER damn bitches on a niggas mind haha
3,0,3,0,1,bitch you guessin
6,0,5,1,1,"If I was stranded on a desert island and I could only bring 1 thing, I would bring [PERSON]. That hoe has everything in that backpack."
3,0,3,0,1,"Pizza, a salad and alcohol is all I want..my cravings need to be met or I'm a rude bitch"
3,0,2,1,1,RT @USER: this is real life &128557; RT @USER: She want to give u pussy so bad she mad at u cus u fucking it up
3,0,3,0,1,S/O to the fine bitch at Walmart Just now. Melted me at the ankles 0_0
3,1,0,2,2,"RT @USER: I'm finally ready to mass market my skidmark-resistant tighty whities, but apparently ""Uncrustables"" is already taken. Fu&8230;"
3,0,3,0,1,"RT @USER: ""People need to mind they business"" bitch this the Internet. stop posting shit then"
3,0,3,0,1,Ray rice had that bitch of the xans and the lean all in one punch
3,0,0,3,2,I'm about to post my Charlie Clips vs [PERSON]g ill rap battle review in a few
3,0,2,1,1,@USER you teabagger dunces want to eliminate education all together so you can groom more teabag voters. Lol.thedumbestteabagger
3,0,3,0,1,@USER sup nappy headed hoe you got quiet
3,0,2,1,1,[PERSON]ruh leave it to the coins coons
3,0,2,1,1,Shoutout to my MackTown niccas!
3,0,3,0,1,"And even if the sky come fallin, bitch ima still be high. I got faith in my weed man"
3,0,3,0,1,"RT @USER: A bitch get 20,00 followers she's a boss and starting up a boutique. And wearing shades in public"
3,0,3,0,1,Don't [PERSON]'s verbal responses and aggressive interactions suggest either brain damage or a need for meds? Or maybe she's just a bitch!
3,0,3,0,1,RT @USER: Commie &amp;9773; Mints RT @USER F#@!kk this faggot commie URL
3,2,1,0,0,RT @USER: The fox says you're a cunt.
3,0,1,2,2,@USER. Find one where be beat [PERSON] [PERSON][PERSON] head into the ice too. [PERSON]l [PERSON] is straight trash as far as hockey.
3,0,3,0,1,Pressed for pussy no ..I get too many freebies
3,0,3,0,1,RT @USER: &8220;@USER: 90 percent yo bitch with me 100 percent that scrap with me&8221;
3,0,3,0,1,@USER what u doing bitch boy
3,0,3,0,1,Slap the bitch is fun..didnt know beer wasnt that bad
3,1,2,0,1,Niggas hate me cuz they know im a threat to them &amp; they bitches
3,0,3,0,1,RT @USER: Sinclair hoes don't care how fat they are. They all still wear yoga pants and belly shirts..
3,0,3,0,1,Evan. &128514;&128514;&128514;&128553;&128553;&128553;&128557;&128557; RT @USER: Buy me polo I will eat your pussy till the receipt expire
3,0,3,0,1,bitch said best way to get over a man is to get under another one!! smh dats ah hoe for u
3,0,2,1,1,"""@USER: [PERSON]rus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* URL"
3,0,0,3,2,Anglo-Saxon [PERSON] [PERSON]
3,1,2,0,1,jesus christ youre a fucking retard if you believe in Mercurian retrograde affecting your life
6,1,5,0,1,"RT @USER: Broke hoes 3 words ""Out my face"""
3,1,2,0,1,"@USER @USER @USER @USER ur weird, racist bitch."
3,0,3,0,1,@USER ee you got the hoes
3,0,0,3,2,@USER the new nip dropped today rii?
4,0,4,0,1,@USER real shit bro yo hoe told me if [PERSON][PERSON][PERSON][PERSON] [PERSON] had straws i ca fuck
3,0,0,3,2,RT @USER: Jihadi Work Accidents: 13 Taliban Fighters Killed When Their IEDs Detonated Prematurely&8230; URL Celebrate&8230;
3,0,3,0,1,RT @USER: It goes from &8220;babe&8221; to &8220;bitch&8221; &8220;I love you&8221; to &8220;I hate you&8221; &8220;I need you&8221; to &8220;fuck you&8221; &8220;you&8217;re my everything&8221; to &8220;you&8217;&8230;
3,0,3,0,1,@USER bitch that says traffic stop bitch stop making excuses
3,0,2,1,1,bitches don't knw what to let ride certain shit ain't work mentioning
3,0,2,1,1,@USER @USER politics isn't twitter coon lol
6,0,6,0,1,RT @USER: One loyal girlfriend is worth more than a hundred hoes.
3,0,2,1,1,"RT @USER: ""@USER: You know bitches be mad when they be like ""I'm my own wcw&128514;&128514;"""
4,0,1,3,2,"New show announced in [LOCATION][LOCATION][LOCATION], [LOCATION][LOCATION] at Papa Charlies on January 29, 2011 URL"
3,0,3,0,1,Say you love that bitch so much I'll kill you right in front of her
3,0,3,0,1,Dude I work with is so pussy.
3,1,2,0,1,I think every bitch wit a tongue piercing suck dick im just being real
3,0,3,0,1,I hate stupid bitches who cry for stupid reasons
3,0,1,2,2,Lethal bird flu cocktail sent out of lab accidentally went unreported &8211; CDC URL
3,0,3,0,1,Never trust a nicca who volunteers another man info ..
3,0,3,0,1,RT @USER: Niggas dat don't get no pussy are usually the ones thirstin these big or ugly bitches.. givin them more confidence then the&8230;
3,0,0,3,2,Real basketball players get disappointed when they throw something in the trash can and miss
4,1,3,0,1,Nigga ill take ya main hoe make her call her home girl and make em share the same dick
3,0,0,3,2,march is about to get mad! marchmadness collegehoops indiana iubb hoosiers
3,1,2,0,1,RT @USER: 1) A real nigga would NEVER be hurt and crying over pussy they didn't get for two years. What kinda gay shit is that?
3,1,2,0,1,A nigga will say the worst about a bitch and she'll still feel validated as long as he would fuck her.
6,0,6,0,1,All these bitches wanna fuck on a thug
6,0,6,0,1,I coulda sworn I was the last bitch on tunchi ig &128129;&996;&65039;&128536;
3,1,0,2,2,RT @USER: Muslim Jihadi fighters book tickets on cruise ships to [LOCATION] and [LOCATION]&160; URL
3,0,3,0,1,"""@USER: @USER im the bitch okay nudes pat &128554;&128527;&128056;"" wow"
3,0,3,0,1,"RT @USER: im pregnant ass bitches , matter fact ima slip down the steps ass bitches"
3,0,3,0,1,"""@USER: @USER I'm so sure bitch"" frfr tf"
3,0,0,3,2,"""@USER: Fit lads! Nice gear! URL these scally lads n trainers would get it"
3,0,1,2,2,Little things can just kill a negros mood man
3,0,3,0,1,RT @USER: Guys who tweet shit to get a bunch of favorites are on the same level as hoes
3,0,1,2,2,"RT @USER: RT @USER Far right hero and all-around RWN[PERSON] [PERSON][PERSON][PERSON][PERSON] took to twitter on Thanksgiving to mock [PERSON][PERSON][PERSON] [PERSON], a murdered k&8230;"
3,0,3,0,1,Started wit Hanna Montana hoes.. .. Now im fuckin all of [PERSON] [PERSON] hoes
3,0,3,0,1,@USER lol bitch I'm indian!! You op
3,0,3,0,1,RT @USER: Phat pussy is the best pussy &128526;
3,0,3,0,1,RT @USER: @USER just like you&128076;&128079; you pulled all them track bitches &128514;
3,1,0,2,2,@USER You speak colored too? I thinks I be in love
3,1,0,2,2,"This target is ghetto, but whatever"
3,1,2,0,1,Tryna be sumbody cinnamon apple &171;@USER Now I cant trust any bitch wit pussy that taste like cinnamon apple URL
9,0,9,0,1,A hoe gone be a hoe they ain't &128175;
3,0,3,0,1,RT @USER: Whatever. No matter how many times kids fuck me over I will never become I pussy. I promise you that.
3,0,3,0,1,RT @USER: When the side bitch try to approach you in public. URL
3,0,3,0,1,@USER this pic is trash. D!ck is dry af.
3,0,3,0,1,The fuck mickey d's gave me.. some cookies in a big mac box!! URL
3,0,3,0,1,@USER I can't help but notice you attempting to avoid acknowledging your very hairy pussy..
3,0,3,0,1,@USER negro please
3,0,3,0,1,Basic bitches &amp; lame niggas &lt;
3,0,0,3,2,@USER @USER Amen on this tweet. 105 mm rockets from Victor Charlie leave a lasting impression.
3,0,3,0,1,I mean we can get married. As long we can sign a prenuptial agreement. It's 2014 bitch.
3,0,0,3,2,@USER hey now there's no need for foul language you kike
3,0,3,0,1,@USER you're just a pussy.
3,0,2,1,1,@USER I glads dis colored man cans be of soyvice fo da white man
3,0,1,2,2,1300 for the eggs sunny side nicca .. @USER
3,2,1,0,0,Of course my faith for baseball is off this year. BECAUSE OF BARRYBONDS you goddamn retards!! morons
3,0,3,0,1,There it is these bitches be having joint custody dick and acting up. Understand that's part time. No benefits.
3,0,3,0,1,"@USER @USER oh, see cher? see what your particular brand vitriol creates? A boy who thinks it's ok to call a woman a cunt. libtard"
3,0,3,0,1,@USER DP = Double Penetration aka a dick in the ass and a dick in the pussy at the same damn time.
3,0,3,0,1,RT @USER: Ugly bitches like to argue a lot.
3,0,3,0,1,"Sumn wrong wit da pussy, een tho I ain't gonn hit it Ima still make sure dat she gushy"
3,0,3,0,1,RT @USER: @USER ATTENTION !! [PERSON][PERSON][PERSON][PERSON] [PERSON] had the best pussy in the world. Taste good asf&128523;&128523;&128525;&128536;&128079;&128588;&128514;&128514;&128514;&128553;&128540;&128523;&128523;&128525;&128525;
3,1,2,0,1,@USER nah you're a nigger
3,0,3,0,1,"When I be that pussy, I be calling you my Bit[PERSON]."
3,0,0,3,2,A bird just flew into my window?? I hope he's okay &128563;
3,0,3,0,1,4th and long bitches
3,0,0,3,2,See the jumbotron? That&8217;s where the jig is
3,0,3,0,1,"@USER im 99 slay bitch, im wearin bandos armor cause im so rich, i got my slayer helm and my whip droppies"
3,1,0,2,2,@USER [PERSON] football is trash man. Trash. Lol.
3,1,2,0,1,"We got gin, mad blunts and bitches sucking dick"
3,0,1,2,2,@USER Oh no! Sorry Hun. That sucks. Hope you heal fast. &128533; dancerproblems
3,0,3,0,1,@USER @USER @USER @USER @USER @USER @USER @USER @USER or a celebrity. Poor bitches
3,0,0,3,2,@USER That's a cute and fuzzy one..hehehe ;)
3,0,0,3,2,RT @USER: Really? This is what's concerning him right now? MT @USER: Looking forwd to speaking with [PERSON] [PERSON] tomorrow AM abo&8230;
3,0,3,0,1,"&8220;@USER: My brother is a bitch, pussy, faggot, etc.&8221; you just like getting beat up don't you?"
3,1,2,0,1,"No wealth doesn't insulate from being called nigger. But still does improve empirical quality of life outcomes, phenomenally. @USER"
3,0,3,0,1,"RT @USER: What was that you tweeted? I can't concentrate enough to read it over all your sad-looking boob and pussy pics. -men, prob&8230;"
3,0,3,0,1,I almost beat that bitch up.
3,0,2,1,1,"On a scale of 1 to redneck, I'm watching Days of Thunder right now. goCruise"
3,0,0,3,2,[PERSON]'s girl was a tranny. RT @USER: I wonder what would have become of @USER if he'd written '[PERSON]'s Girl'.
3,0,0,3,2,"""@USER: Why the eggplant emoji doe?""y he say she looked like scream lmao"
3,0,3,0,1,"These niggas designing these bitches, they got zippers on hoes"
3,0,3,0,1,"We got mob ties/ and all my hoes gangstaz too/mob wives/ bad bitches,but I don't spend alotta&8230; URL"
3,1,2,0,1,That ass so perfect we can't help it RT @USER: y'all diss hoes but praise nicki minaj everyday. I don't understand niggas man
3,0,1,2,2,@USER @USER Anyone bring in a monkey.
3,0,0,3,2,@USER Lmao. it bel ike that nowadays
3,0,2,1,1,@USER yep lmao. Its been a hectic few weeks. Waddup ho
3,0,0,3,2,"RT @USER: [PERSON]urious [PERSON], the curious little monkey or deranged serial cat killer? The story the man with the yellow hat doesn't want you&8230;"
3,0,0,3,2,"Big Squawk: Q: when will DFL dump [PERSON] ""[PERSON] [PERSON]"" [PERSON]? } Not going to happen Berg Bleat on. mngop proud stribpol mnleg"
3,0,3,0,1,RT @USER: Have a seat drunk bitch RKO URL
6,0,6,0,1,I swear I needa go on n go back to the old me because bitches think its a game apparently. Let's be real !
3,0,0,3,2,"[PERSON][PERSON][PERSON][PERSON], although not having the greatest of seasons, would be a step up from [PERSON][PERSON] [PERSON]. [PERSON][PERSON][PERSON][PERSON] or [PERSON] [PERSON] MLB Yankees"
3,0,3,0,1,@USER How u going to talk shit from another state that's dat pussy shit
3,0,3,0,1,i bet yo bitch try n slide once i let my hair down
3,0,0,3,2,@USER @USER @USER I'll chug my tall can . but homegirl won't approve lol
3,0,0,3,2,he's making fun of me cause I'm worried about the bird and he saying he's not surprised because I don't like splitting poles lol ugh jerk
3,0,3,0,1,RT @USER: [PERSON][PERSON] was really a pussy tho. He let some lil niggas jump him and take his bike. Old head sonned him in front of his mama&8230;
9,0,9,0,1,RT @USER: This burger 3 days old but I eat 19 yr old pussy so I should be fine right ? URL
3,0,3,0,1,Bad blood in the camp &amp; if it's bout a bitch just know I don't respect it homie
3,1,2,0,1,[PERSON][PERSON] got her whole lit new clicc from her school &amp; be on that bitch shit too me like ? Okay but anyways WE still DEM GIRLZ
4,0,3,1,1,Son of a bitch I can't wait till baseball is back. AmericasPastTime
3,0,0,3,2,Penn State tryna slant and screen all the way down the field lol
3,0,3,0,1,RT @USER: &8220;@USER: &8220;@USER: y'all hoes get boyfriends just to tweet about them.&128588;&8221;&8221; then break up to dawg him on here lol
3,0,3,0,1,really bitch
3,0,3,0,1,"This bitch wanna smoke all of my weed,"
3,0,3,0,1,"RT @USER: ""Why did you give birth to me you bitch"" URL"
3,0,2,1,1,&8220;@USER: Trap keep me fly that's why I love him &10084; URL ayy you got that hoe at Forever 21 huh? &128526;
3,0,3,0,1,@USER bitch u a thot oh fake ass nigga box up hoe u not bout nothing
3,0,3,0,1,Bae juss the new side bitch lingo u aint special hoe
3,2,1,0,0,RT @USER: @USER @USER I feel like [PERSON] [PERSON] is a nigger
3,1,2,0,1,"RT @USER: These hoes be fucking all of us niggas. I got news for all the monogamous niggas, yo bitch fucking anonymous niggas"
3,1,2,0,1,"This ""[PERSON][PERSON]"" women at my eye appointment.. bitch"
3,0,3,0,1,@USER @USER bitch. &128534;
3,0,3,0,1,"Apologizing in advance for my actions, I'm thee biggest bitch when I'm studying &128522;&128299;"
3,0,3,0,1,If i aint hit that bitch then i aint hit that bitch why lie about it thats petty bullshit
3,2,1,0,0,RT @USER: I hate trailer trash &128567;
3,0,0,3,2,"RT @USER: 2-2! [PERSON] [PERSON][PERSON] cleans up the trash in front of the net, tying the game for the NJDevils with 11:06 left in regulation! &8230;"
3,0,3,0,1,RT @USER: Had to charge my ipod. Fuck the redskins.
3,0,3,0,1,"""@USER: Now u got what u want bitch ! Enjoy it URL now this is a crazy party I would love to attend."
3,0,1,2,2,@USER I ain't to show bout dem colored diamonds you talk about on da radio. Any diamond you gets from a colored be stolen
3,0,3,0,1,I actually get on with [PERSON] and think she's really nice bit you're so two faced and bitch about her all the time.. nasty
3,0,3,0,1,@USER @USER then bring your bitch ass to town east bitch
3,0,1,2,2,Which expendable player can we put in with the sole objective of breaking [PERSON][PERSON][PERSON]'s jaw?
3,0,3,0,1,"Hey, people bird watching, you do realize there&8217;s like, hundreds, literally hundreds of free pictures of boobs on the Internet, right?"
3,0,3,0,1,Oi look at this pussy on your bed @USER URL
3,0,0,3,2,"RT @USER: The Cardinals are MLB's gold standard, and there isn't even a close silver. Dodgers Giants Tigers Yankees URL"
3,0,2,1,1,"RT @USER: [PERSON] had a juicy clam, Was always good to go Little touch of boated man And she began to flow HallmarkNostraCollecti&8230;"
3,0,3,0,1,Lol life Made her a hoe
3,0,3,0,1,@USER fine walk bitch
3,0,3,0,1,but shawty you not a bitch you the one I get money wid
3,0,3,0,1,@USER bitch I'm [PERSON] [PERSON][PERSON] I do what I want
3,0,3,0,1,Ratchet lol ass lol bitch
3,0,1,2,2,Im a twat
3,0,1,2,2,Supporters of officer [PERSON] [PERSON] rally in [LOCATION] [LOCATION] URL ferguson kk tcot tpot teabaggers teaparty
3,2,1,0,0,RT @USER: If I was [PERSON] Id call a press conference &amp; slit joe bidens neck on live tv just 2 show these crackers I mean business&8230;
3,0,3,0,1,Yo can you guys stop being little bitches just know everything happens for a reason of your meant to be you will be &128079;
3,0,3,0,1,RT @USER: I tell a bitch dont RT my shit unless u suckin/fuckin
3,0,3,0,1,Too many pretty bitches got the sore throat voice.Mostly red bones. TurnOff
3,0,0,3,2,RT @USER: Have their been any reports of an aerosolized virus that turns apes intelligent? Seems like that kind of day.
4,1,3,0,1,"""@USER: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."
9,0,9,0,1,this bitch
3,0,0,3,2,"@USER Don't yell at me, I love both of the evolutionary lines. @USER despises the trash buddies."
3,0,3,0,1,"&8220;@USER ""I know I must make a lot of ya'll hoes sick &amp; all I can tell you hoes, get used to it bitch!""&8221;"
6,1,5,0,1,"Fuck fleeto like, id cut you cunts up :/"
3,1,2,0,1,High then a hoe but played it cool
3,0,3,0,1,[PERSON][PERSON] thought he could turn his hoe into a house wife SHEDONTBELONGTOYOU SHEBELONGSTOTHEWORLD
3,0,3,0,1,"&8220;@USER: You can be a hoe without having sex, ask any of the girls texting alotta niggas at the same time.&8221;"
3,0,3,0,1,"porn,android,iphone,ipad,sex,xx, | XX | homemade pussy eating &8211; URL URL"
7,0,7,0,1,RT @USER: Do loyal bad bitches exist? Because I want one
3,0,3,0,1,RT @USER: You bitches could never be nae ..let him tell you he love him some nae &128143;&128145;&128081;
3,1,2,0,1,N dat bitch sound like a man if dats ya grandma fucc yu too
3,0,1,2,2,"Every character on Thesimpsons is trash. And they're trash on purpose. If you don't get that, you don't get the joke."
3,0,3,0,1,"@USER he needs to date a grandma , I'm too turnt up for his lil pussy ass, bro and I called him lil baby names like lame &amp; dork"
6,0,0,6,2,"RT @USER: 52% of the world's mammals, birds, reptiles, amphibians &amp; fish vanished between 1970 &amp; 2010: URL URL"
3,0,3,0,1,That son of a bitch moment when you finally get in bed and your bladder decides its time to piss
3,0,3,0,1,RT @USER: Another movie that's gonna make you question your bitch &128530;&128514; URL
3,1,2,0,1,RT @USER: I hate these Mo'ne Davis commercials. Bitch is gonna end up either a dyke or a loser like every other female.
3,0,3,0,1,@USER @USER @USER naw really bitch I mean yo address
6,1,5,0,1,Okay so I know I'm like ten years late but I freaking HATE [PERSON] [PERSON] from Lost fuck that dumb bitch wtf is her problem &128545;&128545;&128545;&128545;&128545;&128545;&128545;&128545;&128545;&128545;&128545;
3,0,3,0,1,Omg this bitch just said some shit
3,1,2,0,1,last words to a bitch nigga 'why you lie'
6,1,5,0,1,RT @USER: I'ma start a fuck buddies to save lives program. Lol match some dry bitter ass folks up wit some good dick or pussy.
3,0,3,0,1,remember going out to actually freak a bitch? yeah that vibe is back.
3,0,3,0,1,A dyke who wears strap ons can't brag to me that she beats the pussy better than me because her dildo can't cum and make her stop.
3,0,1,2,2,"My manager @USER new brand | PRE - ORDER NOW w/ (404) 394-1570&160;&160;--&gt; @USER ""Red Lust"" &amp; ""Cherry White"" beanies URL"
3,0,3,0,1,RT @USER: When all yo hoes hit you up at da same time.. URL
3,0,3,0,1,she thru me dat pussy but I never caught it.. u asking me why yo.. it got to much mileage
3,1,2,0,1,RT @USER: Your opinion is irrelevant because you are a cunt.
3,0,0,3,2,@USER @USER ima get this so every time I throw trash away its where it really belongs URL
3,0,2,1,1,Lol I told my brother imma good christin girl he said nah u a wholesome hoe lmaoo so bogus who says shit like dat he mean af
3,0,0,3,2,Friendly advice to western reporters in [LOCATION][LOCATION][LOCATION]: don't advertise your location. Jihadis are tracking u &amp; consider u a high-prize target ISIS
3,0,1,2,2,"Good day, honkies. ..I said GOOD DAY! ..honkies."
6,0,5,1,1,&8220;@USER: im so winning. &128525;&128525;&128525; URL bitch
3,0,2,1,1,Math is forever confusing to me retard
3,0,2,1,1,@USER use monkey maker you prick!
3,2,1,0,0,Come on nd get that chicken niggers love dat chicken from popeyes URL
3,0,0,3,2,RT @USER: Advice tip for people: 1 stick hand in glue 2 stick hand in feather 3 now you are like bird. Impress your friend.
6,1,5,0,1,RT @USER: &8220;@USER: I'm in this bitch &128563;&128563;&128563;&128563; like a mf &128514;&128514;&128514;&128514;&996;&65039;&127811;&128080;&128168;&8221;
3,0,1,2,2,"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie"" URL"
3,0,3,0,1,RT @USER: Highwaisted jeans are not made for everyone bitches be looking horrible
6,0,5,1,1,These hoes really make me laugh lol
3,3,0,0,0,"&8220;@USER: No need to thank me, killing niggers is it's own reward.&8221; Dis my pal from our graduation when we was 26"
3,0,0,3,2,@USER I volunteer to be guinea pig and help test it out &128527;&128587;
3,0,1,2,2,I show do like [PERSON] Jeffersons. Dat [PERSON] make me wanna open up a dry cleaning stow and call all da white folk honkey
3,2,0,1,0,@USER @USER @USER But..country music listeners really are hicks and alcoholics &128514;&128514;
3,0,3,0,1,RT @USER: The only girls that care about being a guys WCW are hoes
3,0,3,0,1,RT @USER: &8220;@USER: I hate a always wanna smoke but aint got no money as nigga/bitch like bye falisha&8221;&128514;&128514;&128514;
6,0,4,2,1,Rt &8220;@USER: When I see you walk up I think hoe&8221;
3,2,1,0,0,"Well gahdamn. RT @USER: Woow &8220;@USER: ""Good job mommy"" cutest thing blue ivy ever done she still an ugly nigger baby&8221;"
9,2,7,0,1,"@USER I'm not [LOCATION] at all my nig, u brought me to twitter n bounced"
3,0,3,0,1,&8220;@USER: How you make a salad and have no vegetables on the bitch?!? Give me a break. &128514;&128557;&128514;&128557;&8221; potato salad
3,0,3,0,1,Some bitches are relentless. You can curve her a hundred times and she still wants the dick
3,0,3,0,1,bunch of pussies
3,0,3,0,1,"RT @USER: What kind of world do we live in, where bitches are getting surgery to make their butts BIGGER!? Since when do women want a&8230;"
3,1,2,0,1,@USER fag
3,2,1,0,0,"You football nigga KISS ISIS wifebeater faggots&gt; WE SEE YOU&gt; Shout it out to the RADICAL IslamNation, YO&gt;"
4,0,4,0,1,@USER room temp cus i have sensitive bitch teeth. ( ._.)
3,0,3,0,1,Sock the pussy like I'm vegeta
3,0,3,0,1,Fuck ya main hoe now she claimin mob hav her brake ya heart wen I rob ya inda daark
6,1,3,2,1,RT @USER: &8220;@USER: Broke hoes always wanna argue u ain't ate all day were u get that energy from &128514;&128514;&8221;RT&128514;&128553;&128175;
3,0,3,0,1,RT @USER: 1? Smh &128514; RT @USER: &8220;@USER: Yoo &128514;&128514; URL What a fuckin EGO bust. pussy
3,1,2,0,1,"RT @USER: If a nigga can tell hoes he's taken , he's a real nigga ."
3,0,3,0,1,Hungry then a hoe
3,2,1,0,0,@USER im going to murder that fucking cunt
6,0,1,5,2,RT @USER: [PERSON] always on my TL being ghetto &128514;&128514;
3,0,3,0,1,I wish a bitch COULD
3,0,3,0,1,@USER they didn't want to fuck [PERSON] that bitch lmao
3,0,0,3,2,"RT @USER: [PERSON] [PERSON] mocks [PERSON]-[PERSON]: &8216;If I cry, will I be forgiven all my transgressions?&8217; URL via @USER&8230;"
3,0,3,0,1,"RT @USER: @USER hell nahh. If a bitch had respect for her own damn body, she wouldn't wear that shit in public."
3,0,3,0,1,You still can't turn a hoe into a house wife !
3,0,3,0,1,I wish my brother would stop bringing dirty bitches in my house
3,0,3,0,1,@USER You/ @USER brought it up first with the allusion that she's a hoe. @USER @USER
3,0,3,0,1,RT @USER: It's UTW over here bitch but a lot of shit be going Down &128548;&994;&128165;&128165;&128165;&128165;&128165;&128299;
3,0,3,0,1,I have 0 hoes &128588;
3,1,2,0,1,@USER dont raise ur hand to me niggah
3,0,1,2,2,"NEW Nashville Noise! @USER loves burgers, @USER honky tonks, and @USER grabs a pizza. URL"
3,0,3,0,1,RT @USER: U dont like me but ya bitch do!!
